text,pseudo_label
"Statement: For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.
Speaker: robert-menendez (democrat party)
Topic: elections

Analysis: The senators correct that Latino voters put Obama over the top in winning the popular vote, according to both a Latino Decisions poll and exit polling data. The 2000 election was the first time when Latino voters delivered more than enough votes for a popular vote victory, but this years election marks the first time when Latinos were decisive in electing the overall winner, according to the founders of Latino Decisions.",1
"Statement: Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.
Speaker: bernie-s (independent party)
Topic: economy,jobs,new-hampshire-2012,poverty

Analysis: So where does this leave us?On Sanders side, he used a solid number, and hes clearly right about the underlying trend -- despite some ups and downs, there are more impoverished Americans today than there were in 2000, both measured by raw numbers and as a percentage of the population. But we think he goes too far when he suggests these 12 million Americans simply fell from the middle class into poverty. And he ignores the fact that as those 12 million Americans were slipping into poverty, many, many Americans were simultaneously climbing out of poverty.",1
"Statement: When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.
Speaker: mitt-romney (republican party)
Topic: history,state-budget

Analysis: nan",1
"Statement: The economy bled $24 billion due to the government shutdown.
Speaker: doonesbury (none party)
Topic: economy,federal-budget,health-care

Analysis: Doonesbury, aka Garry Trudeau, said the government shutdown cost the economy $24 billion. That is based on the highest of the independent estimates. Three prominent forecasters, Goldman Sachs, IHS and Moodys assessed the damage at $20 billion. A survey of economists set $16 billion as the most likely figure. There is broad agreement that the political impasse produced uncertainty that puts an ongoing, if unquantified, damper on growth. Trudeau likes to say he aims for verisimilitude and he achieved that with his use of a high but defensible estimate from an independent source.",1
"Statement: Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.
Speaker: george-will (columnist party)
Topic: health-care

Analysis: With all the talk about problems with the health care law, its easy to forget just how many corners of health insurance policy the law affects. Will seemed guilty of that on Fox News Sunday when he said most of the law has been waived or suspended. Obama has made at least two major course corrections in the law. He delayed the employer mandate by one year and allowed individuals dealing with canceled plans to buy insurance that fails to meet minimum standards under the law. One way to put these changes into context is to look at the number of people they affect. While precise data are missing, the combined impact could be in the range of 1 million Americans. On the other side of the ledger, 3. 1 million young adults have gained access to coverage through the law, another 18 million people are subject to the individual mandate and millions more have benefited from requirements that health insurance companies spend premiums on care.",1
"Statement: In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.
Speaker: bernie-s (independent party)
Topic: elections

Analysis: Sanders said that ""in this last election in November, . . . 63 percent of the American people chose not to vote, . . . 80 percent of young people, (and) 75 percent of low-income workers chose not to vote. ""Sanders was too loose with some of his numbers and his wording, but he has a point that rates of non-voting among Americans, and especially among younger and poorer Americans, are high.",1
"Statement: McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' 
Speaker: barack-obama (democrat party)
Topic: federal-budget

Analysis: I firmly object to all 'buy America' restrictions, as they represent gross examples of protectionist trade policy. ""He added, ""Furthermore, as a fiscal conservative, I want to ensure our government gets the best deal for taxpayers and with a 'buy American' restriction that cannot be guaranteed. ""The McCain campaign did not respond to Obama's charge. But his past words say it all.",1
"Statement: U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out
Speaker: national-republican-congressional-committee (republican party)
Topic: federal-budget

Analysis: And the debt is a result of tax cuts as well as various spending measures, and both Democrats and Republicans supported such measures.",0
"Statement: Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.
Speaker: gwen-moore (democrat party)
Topic: financial-regulation,foreign-policy,water

Analysis: Moore said that when the International Finance Corporation became a part-owner of Manila Water, rates rose 845 percent. The source cited by Moores staff undermines that number. The International Finance Corporation bought its stake in 2004. Between 2004 and 2012, rates rose about 170 percent. Moore incorrectly used a figure that would apply to the period from 1997 to 2012. However, the IFC crafted the plan for privatization in the first place. All parties knew that important capital investments would follow, and that rates would go up. Moore wrongly pegged the rate increase to the date of IFCs equity position, but the development corporation played a key role from the start.",0
"Statement: Almost 100,000 people left Puerto Rico last year.
Speaker: jack-lew (democrat party)
Topic: bankruptcy,economy,population

Analysis: Our ruling  Lew said that ""almost 100,000 people left Puerto Rico last year. ""That appears to be close. Airline data suggests about 89,000 more people departed Puerto Rico for the United States then entered it in 2015. While thats not a perfect estimate to measure out-migration, all the population trends suggest Puerto Rico is experiencing a surge in out-migration, as residents leave for better jobs and prospects in the United States.",1
"Statement: Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.
Speaker: dennis-richardson (republican party)
Topic: economy,income

Analysis: It didnt, in other words, change the final result. The Richardson campaign did get back to us but, regardless, the information it provided doesn't hold up. Data from the two federal agencies and the state Employment Department show that both genders make more today, when their wages are adjusted for inflation, than they did when Kitzhaber was first elected in 1995.",1
"Statement: The United States has the highest corporate tax rate in the free world.
Speaker: eric-bolling (none party)
Topic: corporations,taxes

Analysis: Bolling said the United States has ""the highest corporate tax rate in the free world. ""He was referring to the statutory rate, meaning the rate before deductions. On that score, hes right: The United States does have the highest statutory rate among developed countries. However, the United States corporate tax rate doesnt appear to be the highest once deductions and other exclusions are taken into account. So Bolling is correct by one valid definition.",1
"Statement: We just had the best year for the auto industry in America in history.
Speaker: hillary-clinton (democrat party)
Topic: economy

Analysis: Clinton said, ""We just had the best year for the auto industry in America in history.",0
"Statement: Says Scott Walker favors cutting up to 350,000 families and children off health care.
Speaker: greater-wisconsin-political-fund (none party)
Topic: health-care,message-machine

Analysis: Walker changed course to a muddier position, while Greater Wisconsin has continued to cite the number. It adds an important qualifier though -- ""up to"" 350,000. Walkers new position, while unclear, still focuses on reining in BadgerCare enrollment -- whether its the 68,000 or some other number remains to be seen.",1
"Statement: Says Mitt Romney wants to get rid of Planned Parenthood.
Speaker: planned-parenthood-action-fund (none party)
Topic: abortion,federal-budget,health-care

Analysis: The Planned Parenthood Action Fund aid said that Romney wants to ""get rid of Planned Parenthood. ""That directly contradicts what Romney has said -- that he wants to end federal funding for Planned Parenthood, not abolish the organization -- and his staff reaffirmed that position. Theres no question that an end to federal funding would be a significant blow to the organizations operations, potentially chopping 12 percent to 35 percent from its budget. But its an exaggeration to say that Romney would act to ""get rid"" of the organization. UPDATE: After our story appeared, Planned Parenthood provided some additional statistics about how many Medicaid patients use their services.",0
"Statement: I dont know who (Jonathan Gruber) is.
Speaker: nancy-pelosi (democrat party)
Topic: health-care

Analysis: Pelosi said, ""I don't know who (Jonathan Gruber) is.",0
"Statement: Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.
Speaker: hillary-clinton (democrat party)
Topic: crime,diversity,homeland-security,terrorism

Analysis: Clinton said that ""hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino. ""Calculations by the director of an academic center found that the number did triple after those attacks. But its worth noting that his data does not show whether or not they remained at that elevated level, or for how long -- something that would be a reasonable interpretation of what Clinton said.",1
"Statement: Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.
Speaker: ted-nugent (republican party)
Topic: candidates-biography

Analysis: And, Jillson said, he would not term Perrys 06 win a landslide. Indeed, he said, the governors 39 percent amounted to a comeuppance; 60 percent of voters chose a different aspirant. Our take: Perry is the third--not first--Texas governor to win re-election thrice. Two of his wins were bona fide landslides but the thirds landslide status is at least debatable.",0
"Statement: ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.
Speaker: pamela-geller (activist party)
Topic: technology,terrorism

Analysis: Geller updated the original post, but it did little to stuff the rumor back into the bag.",1
"Statement: Youth unemployment in minority communities is about 40 to 45 percent.
Speaker: peter-kinder (republican party)
Topic: diversity,economy,jobs

Analysis: Defining which cities, suburbs and townships are ""minority communities"" is a matter of debate. But its worth noting that Fergusons youth are not only more unemployed than their peers in St.  Louis , they are also significantly more unemployed on average than both white and black 16-24 year-olds across the country. Ferguson was the community in question when Kinder cited the rate of 40 percent to 45 percent of youth unemployment in minority communities  and Ferguson does fit into Kinders estimate.",1
"Statement: Says Paul Ryan is still endorsing Trump.
Speaker: hillary-clinton (democrat party)
Topic: candidates-biography,elections,campaign-advertising

Analysis: The New York Times and ABC News said Ryan responded to criticism for not supporting Trump more by emphasizing that he wasn't withdrawing his endorsement. Our rating Clinton says Ryan ""is still endorsing Trump.",1
"Statement: If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.
Speaker: nicholas-kettle (republican party)
Topic: economy,labor,states,unions,workers

Analysis: They did generally rank right-to-work states higher than union states, but they considered many other factors, including tax policy, that could account for the better rankings. (Get updates from PolitiFactRI on Twitter.",1
"Statement: What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.
Speaker: shelley-moore-capito (republican party)
Topic: climate-change,energy,environment,government-regulation

Analysis: Capito said ""What (Obama is) going to come out with in the next several months is you're not even going to be able to burn coal very limitedly in the existing plants. ""The proposal Capito is referring to is an EPA plan to cut carbon emissions in existing power plants. Those rules do not prohibit current facilities from burning coal, and even Capitos spokeswoman said the rule ""doesn't mean that every plant has to close. ""Some facilities will close down within the next decade, but many of those plants were scheduled to be retired anyway due to age and other factors. States and power companies have options to continue to utilize coal for energy, and experts said they expect coal to remain part of the national portfolio for years to come.",1
"Statement: We cut business taxes so today 70 percent of our businesses dont pay a business tax.
Speaker: rick-scott (republican party)
Topic: small-business,taxes

Analysis: Scott said ""70 percent of our businesses don't pay a business tax. ""His general point was that during his tenure, hes been cutting all sorts of taxes. State data for 2011 taxes shows that 76. 8 percent of businesses dont pay the corporate income tax due to the exemption. Scott is including some very small businesses here in his calculation and omitting that many of them were exempt from paying this tax before he took office.",1
"Statement: Says Mark Pryor votes with Obama 93 percent of the time.
Speaker: tom-cotton (republican party)
Topic: bipartisanship,voting-record

Analysis: Cotton said Pryor ""votes with Obama 93 percent of the time. ""Since Obama became president, Pryor has voted in line with the presidents positions between 90 and 95 percent of the time, with 92. 6 percent -- basically 93 percent -- as the average, according to the best rating system at our disposal. Pryor doesnt vote with the Democratic Party quite as often, though, and in 2013 his presidential support votes were lower than every other Senate Democrat. Cottons number is on target based on the data, but Pryor has also opposed Obama on a few key issues.",1
"Statement: We have a federal government that thinks they have the authority to regulate our toilet seats.
Speaker: ted-cruz (republican party)
Topic: consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers

Analysis: Cruz, railing against modern interpretations of the Commerce Clause and the 10th Amendment to the Constitution, said, ""We have a federal government that thinks they have the authority to regulate our toilet seats.",1
"Statement: Austin is a city that has basically doubled in size every 25 years or so since it was founded.
Speaker: lee-leffingwell (democrat party)
Topic: city-government,population

Analysis: Leffingwell said Austin is a ""city that has basically doubled in size every 25 years or so since it was founded.",1
"Statement: The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.
Speaker: north-korea (none party)
Topic: military

Analysis: That means 99. 37 percent of all the tests were done by the five permanent members of the U. N.  Security Council, he said. ""It's about right,"" Sublette said of the figures cited by North Korea. ""If it's off, it's only off by a few (tests). ""We aren't inclined to quibble with fractions of one percent.",1
"Statement: In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.
Speaker: walking-dead (none party)
Topic: health-care,pop-culture

Analysis: We are pleased to reassure the CDC's neighbors that they do not need to install flame-proof siding. The CDC said none of its emergency plans involve blowing up its campus. Plus, the AJC reported two cases in which the CDC emergency generator failures did not coincide with subnuclear explosions.",1
"Statement: Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.
Speaker: kelly-ayotte (republican party)
Topic: debt

Analysis: Ayotte said that the country has added $6. 5 trillion to the national debt since Obama took office and $4. 9 trillion under Bush. When measuring by total debt, shes correct on both counts.",1
"Statement: Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.
Speaker: marco-rubio (republican party)
Topic: legal-issues,supreme-court

Analysis: Rubio mentioned a female Supreme Court Judge and then concluded, ""if you are an appellate lawyer you need to brush up on your South African law because that is how some cases apparently are going to be decided here going forward. ""Rubio was implying that Justice Ginsburg favored South African law rather than the U. S.  Constitution, and that some cases in the U. S.  might be decided based on South African law. Rubio could have poked fun atGinsburgscomments without distorting them. There is nothing in Ginsburgsinterview in which she suggested that any legal matter in the U. S.  should be decided based on anything from South African law. Ginsburg was giving advice to another country on how to draft a constitution, and she suggested examples written more recently than the U. S.  Constitution. She didnt dis the U. S.  Constitution -- she explained that it was written at a time when slavery was legal and women didnt have equal rights. In fact, Ginsburgalso heaped lots of praise on the U. S.  Constitution.",0
"Statement: Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.
Speaker: keep-promise-1-pac (republican party)
Topic: military,voting-record

Analysis: A pro-Cruz PAC said that Marco Rubio ""skipped 18 defense votes, including one to arm the Kurds to fight ISIS. The ad also omits that Rubio voted for the overall bill, which passed the Senate. The majority of the skipped votes were amendments, while many others were procedural or related to votes after the bill passed the Senate. The ad also omits that Cruz voted against the bill.",0
"Statement: Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company
Speaker: national-republican-congressional-committee (republican party)
Topic: energy,stimulus

Analysis: The full name of the legislation under which the stimulus package was approved gives this one away -- the American Recovery and Reinvestment Act of 2009. Cicilline took office in January 2011, a full 23 months after passage of the bill enacting the loan guarantee program that benefited Solyndra. The National Republican Congressional Committee has every right to call the stimulus a ""boondoggle. ""And its fair to say that Cicilline supported the stimulus before taking office. But Lindsay said that Cicilline is ""responsible for this irresponsible investment. ""Wed say that Lindsay and the National Republican Congressional Committee simply used overheated rhetoric, but thats an understatement. (Get updates from PolitiFactRI on Twitter.",0
"Statement: Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.
Speaker: rachel-maddow (none party)
Topic: abortion,pundits,women

Analysis: And with Kasich up for re-election next year, its no surprise that Democrats are eager for a debate that draws contrasts with the governor. But there should be no debate about what types of ultrasounds these new regulations require. Had Maddow read the language closely, she would have seen a mandate -- for external detection methods.",0
"Statement: We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' 
Speaker: jerry-patterson (republican party)
Topic: homeland-security,terrorism

Analysis: Just two weeks ago, American hotels were the target of bombings in Jakarta that killed eight people and injured six Americans. More recently, Napolitano told CNN on May 2, 2010  the day after a sport-utility vehicle holding a bomb was found in New Yorks Times Square  that the incident was being treated as if it could be a potential terrorist attack. And on Friday, Matthew Chandler, a spokesman for the Homeland Security Department, said: The secretary speaks publicly about terrorism often, including in a speech less than 90 minutes ago to the American Constitution Society. Patterson said Friday that Napolitanos continued use of man-made disaster proves his point. The essence of his charge at the convention was that the secretary cant and wont say terrorist attack. News accounts, congressional testimony and speeches prove otherwise.",1
"Statement: African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.
Speaker: bernie-s (independent party)
Topic: diversity,economy,jobs

Analysis: During the debate, Sanders said that ""African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent. ""He has a point that African-American and Hispanic youth have significantly worse prospects in the job market than whites do. But his numbers are too far off. Using the standard method for determining the jobless rate, the figure for African-American youths is 31. 5 percent and for Hispanic youths its 18. 6 percent. While those rates are still disproportionately high, they are not nearly as high as Sanders said.",0
"Statement: Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.
Speaker: chain-email (none party)
Topic: health-care,immigration

Analysis: The chain email says that Obamacare provides insurance ""to all non-U. S.  residents, even if they are here illegally. ""Its actually citing a 2009 proposal that didnt pass, but that doesnt really matter. The Affordable Care Act does nothing to provide health insurance to anyone living in the United States illegally. (A non-U. S.  resident could be living in Mexico, France or even Mars).",0
"Statement: President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.
Speaker: john-boehner (republican party)
Topic: deficit,federal-budget

Analysis: If Boehner had offered a more measured assessment, he would have had a fair point about the differences between Obamas fiscal approach and that outlined by the commission. The president certainly could have gone further in embracing the recommendations of the panel he had commissioned. But he did embrace a wide variety of them, so to say bluntly, as Boehner did, that Obama ""took exactly none of his own deficit reduction commissions ideas"" is simply not correct. To one degree or another, the commissions recommendations are sprinkled throughout Obamas budget proposals, in recognizable -- if not always in identical -- form.",0
"Statement: It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.
Speaker: katrina-pierson (republican party)
Topic: iraq,military

Analysis: Pierson said, ""It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Under the rules of engagement in 2004 and today, Khan would have been able to use deadly force to defend himself. More importantly, Khan died five years before Obama became president and Clinton his secretary of state. (Update: This fact-check has been updated to include Pierson's comments on CNN from Aug.",0
"Statement: Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.
Speaker: blog-posting (none party)
Topic: patriotism

Analysis: The online site Townhall. com said Hillary Clinton co-sponsored legislation in 2005 that would jail flag burners. Clinton did indeed co-sponsor a bill that would have done just that. Republicans have backed similar legislation in the past, even though the courts have ruled flag burning is legally protected.",1
"Statement: Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country
Speaker: rick-perry (republican party)
Topic: health-care,states

Analysis: Perry's right that Romney's comments about health care were edited between editions. Among other things, a line that advocated the Massachusetts model as a strong option for other states was replaced by a shorter, more generic sentence. But that line was preceded by an argument for state-level solutions, exactly the argument Romney extends now. That's not how Perry characterized it. So he did win that bet  by not betting.",1
"Statement: Maggie Hassan raised tuition, making it the highest in America.
Speaker: national-republican-senatorial-committee (republican party)
Topic: education

Analysis: The National Senatorial Committee says Maggie Hassan ""raised tuition, making it the highest in America. ""For starters, in-state tuition in New Hampshire for four-year colleges has been the highest in America for years, but it was that way before Hassan took office. As for Hassans role as governor, of the two budgets she crafted, one gave the university system enough money to freeze tuition, according to USNH leaders, and the other one didnt. Additionally, the state budget does not dictate tuition rates, the board of trustees does. In addition, the Republican-controlled Legislature pared down what Hassan offered in her budget proposal.",0
"Statement: Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.
Speaker: ken-cuccinelli (republican party)
Topic: campaign-finance,ethics,history

Analysis: Cuccinelli, in attacking McAuliffes ethics, says the Democrat is ""the person who invented the scheme to rent out the Lincoln Bedroom. ""McAuliffe authored a memo in early 1995 listing ways Clinton could connect with top Democratic patrons. But the original note did not mention White House sleepovers; that idea was later added in the handwriting of others. McAuliffe has always denied he came up with the scheme; Clinton in 1997 took full responsibility for the idea. No doubt, McAuliffe strongly backed the sleepovers and recommended heavy hitters that should be offered a night in the Lincoln Bedroom.",1
"Statement: We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history
Speaker: andrew-cuomo (democrat party)
Topic: jobs

Analysis: During a press briefing in Ontario County, Gov. Cuomo told a group of reporters that 800,000 jobs had been created, the unemployment rate fell by almost half, and the state had more private sector jobs than ever before.",1
"Statement: We have towns in West Texas that are out of water, that are having to truck in water.
Speaker: sid-miller (republican party)
Topic: water

Analysis: Miller said: ""We have towns in West Texas that are out of water. ""In recent years, towns around Texas occasionally ran dry until new wells or water plants met needs. But Miller named no towns out of water of late nor did we identify any.",0
"Statement: In Georgia, women earn 82 cents for every dollar earned by men.
Speaker: jim-barksdale (democrat party)
Topic: jobs,women

Analysis: Democratic U. S.  Senate candidate Jim Barksdale that women in Georgia only earn 82 cents for every dollar earned by a man. But the statement is missing substantial context needed to fully grasp a very complex issue. When asked for clarification, Barksdale's campaign issued a statement that veered into the equal-pay-for-equal-work argument, something the study behind the statement did not attempt to address.",0
"Statement: A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.
Speaker: david-raynor (none party)
Topic: immigration

Analysis: But his suggestion the error rate ranges between 50 and 80 percent was too high. E-Verifys worst error rate -- for illegal workers -- is high, but its still well below what Raynor suggested. For all workers, it shrinks to 2. 3 to 5. 7 percent.",0
"Statement: They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.
Speaker: donald-trump (republican party)
Topic: immigration

Analysis: Trump said, ""They were going to build the wall a while ago, not so long ago, like in '06. And they couldn't get environmental impact statements. ""The Secure Fence Act of 2006 called for the construction of an additional 700 miles of fencing along the U. S. -Mexico border. While there were environmental concerns related to the construction, the Secretary of Homeland Security waived required environmental reviews in order to proceed with construction. Trumps statement suggests a wall or barrier was not built due to inability to get environmental impact statements.",1
"Statement: Sen. Obama's campaign announced that he's choosing his cabinet.
Speaker: john-mccain (republican party)
Topic: elections

Analysis: Has Obama ""announced that he's choosing his Cabinet""?What's happening is the usual transition planning that occurs with any presidential campaign in the final days before an election.",1
"Statement: In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.
Speaker: battleground-texas (democrat party)
Topic: elections,population

Analysis: The Battleground Texas advocate said that in 2008, ""only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out. ""Research rooted in federal surveys and an analysis starting from the state's 2008 voting roll supports those figures, while our own estimates starting from Texas studies suggest a larger share of voting-age Latino citizens registered and a smaller share of them voted--which, if so, could still be fodder for pushes to improve participation.",1
"Statement: Only 2 percent of public high schools in the country offer PE classes.
Speaker: michelle-obama (democrat party)
Topic: education,health-care

Analysis: Official federal data show that more than 95 percent of high schools in 2006 required PE -- a far cry from the 2 percent Obama cited.",0
"Statement: Said he's the only Republican candidate ""who's actually turned around a government economy.""
Speaker: rudy-giuliani (republican party)
Topic: job-accomplishments

Analysis: Whether Huckabee's ""investment"" of higher taxes for better services was a good move is not is not a turnaround category Giuliani lists. It has to be kept in mind that the economic circumstances each chief executive faced were very different. Giuliani can't match Romney in the corporate turnaround business. And Giuliani's view of what constitutes a turnaround doesn't consider everything, but Giuliani clearly has clear accomplishments when it comes to a government turnaround.",1
"Statement: On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""
Speaker: john-barrasso (republican party)
Topic: education,gays-and-lesbians,kagan-nomination,military,supreme-court

Analysis: Justice Samuel Alito did not  participate because he had not yet been seated to the court when oral  arguments were made. ""The court did  reject the arguments put forward by the law schools, which included FAIR  and the brief filed by the Harvard professors. All of the justices who  voted opposed the law schools' arguments.",1
"Statement: There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.
Speaker: empower-texans (none party)
Topic: education,message-machine,taxes

Analysis: More recent data available from the agency shows both have increased; still, the ratio of teachers to non-teachers is about the same. But Sullivan's online call to action doesn't do justice to the state's actual mix of school workers. The majority of non-teachers aren't administrators or paper shufflers; they're people who work directly with students including counselors, librarians, therapists and bus drivers.",1
"Statement: Under Mayor Cicilline, [Providence] was a sanctuary city.
Speaker: john-depetro (talk-show-host party)
Topic: history,homeland-security,immigration,legal-issues,pundits

Analysis: John DePetro said that under Mayor David Cicilline, Providence ""was a sanctuary city. ""While there is no legal definition of ""sanctuary city,"" in the eight years that Cicilline was mayor Providence had not taken any of the measures adopted by other cities often identified by that label. (Get updates from PolitiFactRI on Twitter.",0
"Statement: Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.
Speaker: garnet-coleman (democrat party)
Topic: corrections-and-updates,crime,criminal-justice,sexuality

Analysis: Coleman told colleagues: ""Transgender individuals in the U. S.  have a 1 in 12 chance of being murdered. ""Were not judging here whether transgender individuals are at risk of attack. Click here for more on the six PolitiFact ratings and how we select facts to check. UPDATE, 12:30 p. m. , April 25, 2016: We revised this article after hearing from Kay Brown. The story now includes her analysis of how a 1-in-12 estimate came to be.",0
